participant_id,Name,Handedness,Age,Sex,Block,numresponse_OnsetTime,NumCondition,SoundCondition,probestimuli,teststimuli,sound,correctResp,Resp,ACC,RT
10,zyt         ,right,21,female,9,169122,3,5,1_42_2  ,1_41_1  ,multiloud,6,5,0,4824
10,zyt         ,right,21,female,10,177055,3,5,5_230_2 ,5_229_1 ,multiloud,6,6,1,1355
10,zyt         ,right,21,female,11,181555,6,1,6_258_2 ,6_257_1 ,         ,5,5,1,1727
10,zyt         ,right,21,female,12,186605,3,2,4_192_2 ,4_191_1 ,onesoft  ,6,5,0,2597
10,zyt         ,right,21,female,13,192338,2,1,7_318_2 ,7_317_1 ,         ,6,6,1,5648
10,zyt         ,right,21,female,14,201721,3,4,1_26_2  ,1_25_1  ,multisoft,6,5,0,753
10,zyt         ,right,21,female,15,205821,1,3,4_176_2 ,4_175_1 ,oneloud1 ,6,6,1,3892
10,zyt         ,right,21,female,16,213038,5,5,5_202_2 ,5_201_1 ,multiloud,5,5,1,811
10,zyt         ,right,21,female,17,217204,4,4,3_124_2 ,3_123_1 ,multisoft,5,6,0,3885
10,zyt         ,right,21,female,18,224671,4,2,4_178_2 ,4_177_1 ,onesoft  ,5,5,1,770
10,zyt         ,right,21,female,19,228771,6,1,8_380_2 ,8_379_1 ,         ,5,5,1,606
10,zyt         ,right,21,female,20,232604,5,4,2_80_2  ,2_79_1  ,multisoft,5,5,1,629
10,zyt         ,right,21,female,21,236604,4,2,2_90_2  ,2_89_1  ,onesoft1 ,5,5,1,477
10,zyt         ,right,21,female,22,240370,2,3,3_144_2 ,3_143_1 ,oneloud1 ,6,6,1,543
10,zyt         ,right,21,female,23,244470,2,5,1_18_2  ,1_17_1  ,multiloud,6,6,1,747
10,zyt         ,right,21,female,24,248437,3,3,3_106_2 ,3_105_1 ,oneloud1 ,6,6,1,1524
10,zyt         ,right,21,female,25,253020,1,2,4_176_2 ,4_175_1 ,onesoft  ,6,6,1,1485
10,zyt         ,right,21,female,26,257820,3,1,6_246_2 ,6_245_1 ,         ,6,6,1,1276
10,zyt         ,right,21,female,27,262570,3,5,1_6_2   ,1_5_1   ,multiloud,6,6,1,854
10,zyt         ,right,21,female,28,266987,1,2,5_204_2 ,5_203_1 ,onesoft  ,6,6,1,853
10,zyt         ,right,21,female,29,271103,3,3,4_168_2 ,4_167_1 ,oneloud1 ,6,6,1,1657
10,zyt         ,right,21,female,30,275770,4,1,10_444_2,10_443_1,         ,5,5,1,862
10,zyt         ,right,21,female,31,279736,6,3,1_48_2  ,1_47_1  ,oneloud  ,5,5,1,592
10,zyt         ,right,21,female,32,283553,4,4,2_54_2  ,2_53_1  ,multisoft,5,5,1,799
10,zyt         ,right,21,female,33,287836,1,5,5_194_2 ,5_193_1 ,multiloud,6,6,1,564
10,zyt         ,right,21,female,34,291886,1,5,4_188_2 ,4_187_1 ,multiloud,6,6,1,738
10,zyt         ,right,21,female,35,295736,1,1,6_270_2 ,6_269_1 ,         ,6,6,1,2392
10,zyt         ,right,21,female,36,301553,3,4,5_236_2 ,5_235_1 ,multisoft,6,6,1,1358
10,zyt         ,right,21,female,37,306086,6,2,3_136_2 ,3_135_1 ,onesoft  ,5,5,1,505
10,zyt         ,right,21,female,38,309936,1,3,4_184_2 ,4_183_1 ,oneloud1 ,6,6,1,983
10,zyt         ,right,21,female,39,314503,4,5,3_128_2 ,3_127_1 ,multiloud,5,6,0,872
10,zyt         ,right,21,female,40,318569,4,2,2_70_2  ,2_69_1  ,onesoft1 ,5,5,1,1206
10,zyt         ,right,21,female,41,322952,3,4,5_216_2 ,5_215_1 ,multisoft,6,6,1,647
10,zyt         ,right,21,female,42,326952,4,5,4_178_2 ,4_177_1 ,multiloud,5,5,1,583
10,zyt         ,right,21,female,43,331069,2,2,2_76_2  ,2_75_1  ,onesoft1 ,6,6,1,1362
10,zyt         ,right,21,female,44,335752,3,2,2_60_2  ,2_59_1  ,onesoft1 ,6,6,1,2663
10,zyt         ,right,21,female,45,341819,2,1,8_350_2 ,8_349_1 ,         ,6,6,1,580
